title;summary
Селило ;Селило (англ. Celilo Falls, дословно с индейских языков — «отзвуки падающей воды») — бывший водопад на реке Колумбия на границе американских штатов Орегон и Вашингтон, некогда самый мощный по водосбросу в Северной Америке. В 1957 году он был затоплен в результате постройки дамбы Даллеса ниже по течению.
Сельфосс ;"Сельфосс (исл. Selfoss) — водопад на реке Йёкюльсау-ау-Фьёдлюм в Исландии (Нордюрланд-Эйстра). Находится примерно в 30 км выше устья реки и несколькими сотнями метров выше по течению от водопада Деттифосс, самого мощного водопада в Европе. Его высота — 11 м, ширина — 100 м.
Река Йёкюльсау-ау-Фьёдлюм берёт свой исток в леднике Ватнайёкюдль, и потому уровень воды в реке меняется в зависимости от сезона, погоды и вулканической активности. Минуя водопад, река проходит через ущелье Аусбирги (исл. Ásbyrgi), которое находится на территории национального парка Йёкюльсаургльювюр."
Сельяландсфосс;"Сельяландсфосс (исл. Seljalandsfoss) — один из самых известных водопадов в Исландии, в регионе Сюдюрланд. Это очень живописный водопад и его фотографии можно найти во множестве книг и календарей, и даже является началом повествования в телевизионной передаче The Amazing Race 6, Этап первый.
Сельяландсфосс расположен между населёнными пунктами Сельфосс, Хвольсвёдлюр, Скоугар и водопадом Скоугафосс. Находится на пересечении 1-го маршрута окружной дороги.
Водопад находится на реке Сельяландсау (исл. Seljalandsá) и возвышается на 60 м (200 футов) над скалами бывшей береговой линии. Глубокий отступ позади водопада позволяет свободно передвигаться за ним, наблюдая тем самым за Сельяландсфоссом со всех сторон. Особо рекомендуется посещать водопад в вечерние часы, когда освещение вокруг водопада становится более насыщенным.
Рядом с водопадом располагается небольшой лагерь."
Семь Сестёр ;Семь Сестёр (норв. De Syv Søstrene или Dei Sju Systrene, также известный как Knivsflåfossen) является 39-м по высоте водопадом в Норвегии. Водопад состоит из семи отдельных потоков за что и был прозван как «семь сестёр». С 2005 года является частью внесёного в список Всемирного наследия ЮНЕСКО Гейрангер-фьорда.
Серебряные струи ;Сере́бряные стру́и (Серебряные струны) — водопад на полуострове Крым, на реке Сары-Узень, один из самых полноводных водопадов Крыма.
Сиписо-Писо;Сиписо-Писо (индон. Air Terjun Sipisopiso — в переводе «водопад как ножи») — водопад на острове Суматра в Индонезии. Находится в 45 км западнее города Берастаги у северной оконечности кальдерного озера Тоба. Высота — 120 м.
Скакало;"Скакало — водопад, расположенный в урочище Нижнее Грабовище в 3,5 км от села Чинадиево, Мукачевского района Закарпатской области. Является памятником природы местного значения. Образован горными потоками г. Синявки (правый приток Иршавки бассейна Тисы).
Образовался на месте выхода на поверхность вулканических пород, о чём свидетельствуют маленькие скальные утёсы в глубине леса по бокам водопада. Каменная гряда, пересекающая лесистый склон горы, преграждает путь водотока, и ручей тремя ступенями срывается с уступов, образуя каскад ручьёв, которые словно скачут с камня на камень. Это и стало поводом дать водопаду такое несерьёзное название.
Скакало является туристическим объектом. Подъём к водопаду начинается на территории санатория «Водограй» (в 470 метрах)."
Скок ;"Скок (словацк. Skok) — водопад, находящийся в Словакии, расположенный в легкодоступном месте.
Водопад хорошо виден с берега озера Штрбске-Плесо с расстояния двух километров. К этому природному сокровищу ведёт маркированная туристская тропа. Впечатление, которое производит величественный 25-метровый водопад, зависит от времени года. В марте, когда ещё держится снег, количество транспортируемой им воды едва достигает 50 литров в секунду. В июле водная масса увеличивается примерно до 900 литров в секунду."
Скоугафосс;"Скоугафосс (исл. Skógafoss) — водопад на реке Скоугау, на юге Исландии, в регионе Сюдюрланд, расположенный в утёсах прежней береговой линии близ посёлка Скоугар (исл. Skógar, община (исл. Rangárþing eystra — Рангауртинг), чуть ниже ледника Эйяфьядлайёкюдль (исл. Eyjafjallajökull). Водопад является одним из самых известных и посещаемых в стране.
От береговой линии, отступившей дальше в море (сейчас она находится на расстоянии 5 км от водопада), на её прежнем месте на протяжении сотни километров остались утёсы, создающие вместе с несколькими горными вершинами чёткую границу между низменностью и горной местностью Исландии, параллельную нынешней береговой линии.
Ширина водопада 25 м, высота падения воды 60 м. Из-за большого количества брызг, образуемых водопадом, в солнечные и ясные дни можно наблюдать одиночную, а иногда и двойную радугу."
Скрикйофоссен;"Скрикйофоссен (норв. Skrikjofossen, англ. Skrikjo Waterfall) — водопад в Норвегии, расположенный в муниципалитете Улленсванг фюльке Хордаланн.
Водопад расположен в 3,5 км к юго-востоку от деревни Лофтус, падает с плато Хардангервидда. Общая высота составляет 455 м, высота падения одиночной капли составляет 260 м."
Смоларский водопад;Смоларский водопад (макед. Смоларски Водопад) — водопад, расположенный на территории Северной Македонии на северном склоне горы Беласица по течению реки Ломница на высоте 600 м над уровнем моря у села Смолари.
Сопоага ;"Сопоага (англ. Sopoaga Falls) — водопад на острове Уполу в Самоа. Расположен на реке Маливейфагатола (англ. Mulivaifagatola River), на автомобильной трассе, соединяющей Апиа с небольшой деревней Самусу (англ. Samusu). Высота потока воды — 54 метра.
Водопад изображён на самоанской банкноте 20 тала.
В пяти километрах от водопада находится другая природная достопримечательность — водоём вулканического происхождения То-Суа. А в 3 км — ещё один водопад — Фуипизия."
Спокойный водопад;"Спокойный водопад — водопад в южной части полуострова Камчатка.
Находится к юго-западу от города Петропавловска-Камчатского.
Расположен на одноименном ручье, берущем начало на внешних северо-восточных склонах кальдеры вулкана Горелого и впадающем в реку Вилючу. Высота 16 м, ширина отвесно падающего потока до 6 м."
Стейнсдальсфоссен;"Стейнсдальсфоссен (также называют Øvsthusfossen или Øfsthusfossen; норв. Steinsdalsfossen) — водопад, расположенный в 2 километрах от города Нурхеймсунн, на западе Норвегии."
Струпенфоссен;Струпенфоссен, Струпен (норв. Strupenfossen, рус. Горло) — водопад, один из самых высоких в Европе, расположен в фюльке Согн-ог-Фьюране в Норвегии.
Су-Учхан;Су-Учха́н (укр. Су-Учхан, крымскотат. Suv Uçqan, Сув Учкъан) — водопад в Крыму, образованный одноимённой рекой, являющейся правым притоком реки Кызылкобинка. Название водопада в переводе с крымскотатарского языка дословно означает «вода летела» (suv — вода, uçqan — пересказательное прошедшее время глагола uçmaq («лететь»)).
Сувтушар ;"Водопад Сувтуша́р (узб. шаршара Сувтушар) — каскадный водопад в горной системе Гиссаро-Алай, расположенный на территории Узбекистана. Находится на одноимённой малой реке в пределах Гиссарского заповедника. Высота падения водного потока составляет 84 м. Водопад относится к известным объектов местного экологического туризма.
Официальное название водопада происходит от названия водотока, который его образует, однако местные жители часто переиначивает его на водопад Суттушар (узб. шаршара Суттушар) что в переводе означает «Молочный водопад». Такое название эта природная достопримечательность получила за белоснежные от множества брызг струи воды."
Сукельские водопады;"Су́кельские водопа́ды (укр. Су́кі́льські водоспа́ди) — группа водопадов в Украинских Карпатах, в массиве Сколевские Бескиды. Расположены на ручьях Сукель-Плайский, Сукель-Набивковский и Бережки (правые притоки реки Сукель), в пределах и в окрестностях села Сукель Болеховского горсовета Ивано-Франковской области.
Первый водопад — Сукельский нижний — высотой 2,5 м. Расположен слева от центральной дороги, при въезде в село Сукель, перед церковью Святого Михаила.
Второй и третий водопады — Сукель-Плайский (8 м) и Сукель-Плайский верхний (4 м) — расположены на одноименном ручье на расстоянии 150—200 м друг от друга. На расстоянии около 500 м от них четвертый водопад — Сукельский верхний (3 м).
Пятый водопад — Сукель-Набивковский (5 м) — расположен на расстоянии примерно часа ходьбы от околицы села, в районе горы Набивки (1265 м).
Шестой водопад — Дикая Баба (4 м) — на северо-запад от сельского кладбища на расстоянии ок. 1 км, на ручье Бережки (400—500 м до ручья влево от кладбища, дальше оврагом к водопаду параллельно потоку против течения примерно 500—600 м).Седьмой и восьмой водопады — Хащуватый (двухкаскадный, общая высота ок. 7 м) и Хащуватый верхний (1,5 м) — расположены на расстоянии 200 м друг от друга на хуторе Хащуватый.Водопады особенно живописны после обильных дождей и во время таяния снега."
Такакко;"Такакко (англ. Takakkaw Falls) — водопад, расположенный в национальном парке Йохо, недалеко от городка Филд (Британская Колумбия, Канада). Высота водопада от вершины горы до впадения в реку Йохо составляет 381,1 м, что делает Такакко вторым по высоте водопадом в Канаде после водопада Делла Фоллс (440 м; для сравнения: Ниагарский водопад — 53 м). Однако, высота непрерывного падения меньше — 254 м.
Само слово «такакко» заимствованно от индейцев и на кри языках обозначает проявление восторга, восхищения, например, может переводиться: «Это прекрасно!».
Такакко питает небольшое озеро, образованное ледником Дэли (является частью ледника Вапутик), поэтому зимой водопад падает узкой струёй, достигая полной своей мощности летом, когда начинается интенсивное таяние ледника.
Такакко запечатлён в фильме 1995 года «Последний из племени людей-псов»."
Тальниковый водопад;"Тальниковый (или Тальниковский) водопад — самый высокий водопад в России, а согласно некоторым утверждениям и в Азии. Расположен в Красноярском крае на плато Путорана (Среднесибирское плоскогорье) у южной границы Путоранского заповедника, недалеко от южного берега озера Дюпкун.
Водопад образовывается сезонным ручьём со столовой горы Трапеция, со сроком существования 1—2 месяца. Водопад каскадный, пятнадцатиступенчатый, высотой более 600 м.
Водопад рассматривается как место привлечения туристов, однако из-за отсутствия транспортной и гостиничной инфраструктуры подвоз и размещение туристов в этих местах крайне затруднены."
Тевиот ;"Тевиот (англ. Teviot Falls) — водопад в Квинсленде, Австралия.
Тевиот находится в юго-восточной части штата, недалеко от границы с Новым Южным Уэльсом. Образован небольшой рекой Тевиот-Брук, протекающей через горный хребет Мак-Ферсон. Высота Тевиота составляет 38 метров. Благодаря расположению в 20 метрах от дороги, Тевиот часто посещается туристами."
Текендама;"Текендама (исп. Salto del Tequendama) — водопад на реке Богота в Колумбии.
Водопад расположен в лесопарковой зоне в 32 км к юго-западу от столицы страны Боготы (департамент Кундинамарка, провинция Соача). Водопад расположен на высоте 2467 метров, общая высота падения в каскаде составляет 157 метров, максимальная высота свободного падения — 139 метров."
Текендамита;"Текендамита (исп. Salto del Tequendamita) — небольшой водопад на реке Буэй в Колумбии.
Водопад расположен в муниципалитете Эль-Ретиро в департаменте Антьокия. Назван в честь известного водопада Текендама, который находится в департаменте Кундинамарка. Водопад небольшой, всего 20 метров, но очень живописный. Является одной из природных достопримечательностей департамента."
Тембей ;"Тембей (исп. Tembey) — небольшой водопад на юго-востоке Парагвая, затерявшийся в чаще природного заповедника «Сальтос-дель-Тембей» (исп.  Parque Ecológico Saltos del Tembey). Расположен на одноименной реке (исп. Rio Tembey), которая, в свою очередь, впадает в реку Парана. Место не туристическое, малоизвестное даже среди парагвайцев, самостоятельно найти крайне сложно.
Водопад высотой около 4 метров имеет ширину 12 метров. Изначально был выше, но с образованием водохранилища плотины Ясирета и значительным повышением уровня вод Параны претерпел изменения. По утверждению местных жителей, 30 лет назад водопад был иным — с кристально чистой водой и без загрязнений, сегодня вода мутная, но все еще сохраняет свои прелести."
Терскол ;Терскол (карач.-балк. Терс къол) — водопад в одноимённом ущелье, находящийся в Эльбрусском районе на территории Кабардино-Балкарии, Россия.
Тис-Ысат;"Тис-Ысат— водопады на реке Голубой Нил в регионе Амхара Эфиопии. В переводе с амхарского название означает «дымящаяся вода». Расположен около деревни Тис-Абай, в 30 км к юго-востоку от города Бахр-Дар и озера Тана.
Водопады представляют собой каскад, состоящий из большого верхнего водопада, и нескольких маленьких, расположенных ниже. Высота водопадов колеблется от 37 до 45 метров, а ширина от 100 до 400 метров, в зависимости от времени года и количества осадков. До 1960-х годов водопад был более мощным, но теперь часть воды из Голубого Нила поступает по искусственным каналам, расположенным выше водопада, на две гидроэлектростанции. Над водопадом часто образуется радуга. Это место привлекает многочисленных иностранных туристов.Несколько ниже водопада река протекает в глубоком ущелье, через которое перекинут старейший в Эфиопии каменный мост, построенный португальскими миссионерами в 1626 году."
Тобот ;Тобо́т — водопад на одноимённой реке в Дагестане, Россия.
Товансон;Товансон (кор. 토왕성폭포) — водопад в Национальном парке Сораксан, расположен в уезде Янъян провинции Канвондо (Южная Корея).
Тогитогига;"Тогитогига (англ. Togitogiga Waterfall) — водопад на острове Уполу в Самоа. Состоит из нескольких каскадов. Находится на реке Малатоа (англ. Malatoa River), в природном парке Тогитогига.
Расположен в 28 километрах к югу от Апиа близ автомобильной трассы Кросс-айлэнд-хайвэй (англ. Cross Island Highway), восточнее на 5 км от перекрёстка Сиуму (англ. Siumu Junction).
После обильных дождей водопад превращается в неистовый поток."
Толмачёвские водопады;"Толмачёвские водопады — каскад водопадов на реке Толмачёва в южной части Камчатского крае, в Усть-Большерецком районе.
Находится к западу от г. Петропавловска-Камчатского до которого 41 км по прямой, к западу от вулкана Горелого. После ввода в эксплуатацию Толмачёвского каскада ГЭС в 2000—2011 годах сток воды через водопады значительно сократился.
Малый водопад имел высоту около 4 м. Большой (средний) водопад, расположенный в 1,3 км ниже малого, имел высоту около 14 м. Примерно в 200 м ниже среднего водопада находился ещё один 4-метровый водопад. Строительство каскада малых ГЭС на реке Толмачёва существенно повлияло на гидрологический режим реки, объём стока реки по основному руслу в пределах расположения каскада сильно сократился. После ввода в промышленную эксплуатацию в 1999—2000 гг. ГЭС-1 и ГЭС-3 остался только один — средний (большой) водопад. После ввода ГЭС-2 в 2011 году он практически исчез.
Популярный туристический объект. Для посещения требуется пропуск — зона ГЭС и заказник «Толмачёвские водопады».
Растительность по берегам реки Толмачёва между водопадами в основном представлена зарослями ольхового стланика, участками типичного камчатского высокотравья, встречаются также сообщества с участием кедрового стланика, рябины бузинолистной, рододендрона золотистого."
Тортум ;"Тортум (тур. Tortum Şelalesi) — водопад, находящийся рядом с одноимённым озером в турецком иле Эрзурум.
Тортум образовался в XVIII веке в результате оползня в селе Балыклы. В 2019 году был предложен к добавлению в список объектов всемирного наследия ЮНЕСКО.
Водопад находится в районе Узундере в 87 км от города Эрзурума. Ширина водопада — 21 м, а высота — 48 м."
Торчекан;"Торчекан (арм. Թռչկան) — водопад в Армении на реке Чичкан высотой 22,5 метра.
Торчекан расположен в Ширакской области близ границы с Лорийской области. Угол падения воды более 90 градусов.
Имеются планы по созданию малой ГЭС мощностью 1050 киловатт в районе водопада. Трчкан имеет статус природного памятника Армении в государственном списке.У водопада расположена одноимённая зимовка."
Тралита-Спилуэй;"Трали́та-Спи́луэй (англ. Lake Trahlyta Spillway) — каскадный водопад в США искусственного происхождения. Находится в округе Юнион штата Джорджия в пределах национального парка Вогел. Высота падения — 27 метров.
Образовался на новом участке русла ручья Волф-Крик при выходе из пруда Тралита.
Водопад назван в честь девушки Тралита (англ. Trahlyta) из племени чероки, захороненной в нескольких километрах от парка, в ущелье Стоунпил."
33 водопада;"33 водопада — каскад водопадов в Лазаревском районе города Сочи. Находится в урочище Джегош, в долине реки Шахе, в 4 км севернее адыгского посёлка Большой Кичмай. Другие, менее популярные названия водопадов: водопады ручья Джегош или Джегошские водопады.
Ущелье реки Шахе расположено в лесном дубовом массиве, где также встречается граб, ольха, клён и южные экзоты — реликтовый эндемик самшит колхидский с лианами, папоротником, иглицей понтийской и мхами. Также ущелье реки Шахе известно тем, что здесь растёт уникальное тюльпанное дерево, посаженное Н. Н. РаевскимОбъект является памятником природы и составной частью Сочинского национального парка, охраняется государством."
Трофанецкий водопад;Трофанецкий (Труфанецкий) водопад (укр. Тру́фанець, Трофанець) — водопад на Украине. Расположен в Украинских Карпатах на юго-восточных склонах горного массива Свидовец на территории Раховского района Закарпатской области, неподалеку от южной окраины посёлка городского типа Ясиня. Гидрологическая достопримечательность природы местного значения. С 1997 года входит в состав Карпатского биосферного заповедника.
Трюммельбахский водопад;"Трюммельбахский водопад (нем. Trümmelbachfälle) — водопад высотой около 150 метров около Лаутербруннена (Швейцария). Состоит из десяти каскадов, расположенных внутри горы. Осмотреть водопад можно с помощью лифта и освещенных туннелей, построенных в 1913 году. 
Водопад несет в себе воды с гор Эйгер (3970 м), Мёнх (4107 м), Юнгфрау (4158 м) и площадь водосбора составляет 24 км2, половина которого покрыта снегом и льдами. Расход достигает 20000 литров в секунду. Ежегодно водой вымывается около 20200 тонн горной породы."
Тугела ;"Туге́ла — второй по высоте водопад мира. Он представляет собой пять свободно падающих каскадов, наибольший из которых составляет 411 метров. Общая высота каскада составляет 933 метра.
Тугела ниспадает узкой лентой с восточного обрыва Драконовых гор, в Королевском национальном парке Наталь, провинция Квазулу-Наталь, ЮАР. Он хорошо виден после сильного дождя или на исходе дня, блестящий от отражения Солнца. Исток реки Тугелы расположен в Mont-Aux-Sources в нескольких километрах от обрыва, с которого падает водопад. Вода выше водопада чистая и безопасная для питья. Обрыв часто покрывается снегом в зимние месяцы.
К водопаду ведут две тропы. Одна горная пешая тропа к вершине Mount-Aux-Sources начинается на автостоянке в Witsieshoek, откуда идет относительно короткий подъем к вершине по тропинке и далее по двум подвесным мостикам. Другая тропа начинается в Королевском национальном Парке Наталь. Семикилометровый подъём вдоль ущелья извивается по местному лесу, затем прыжок через валуны и небольшой подвесной мостик приведёт к подножию водопада Тугела."
Тумсойский водопад;Тумсойский водопад (чеч. Тумсойн чухчари) — водопад, расположенный в Шатойском районе Чеченской республики. Водопад расположен на юго-восточной окраине села Тумсой на реке Тумсой-Эрк в 1,5 километрах к западу от её устья. Высота водопада составляет 36 метров. Высота непрерывного свободного падения — 25 метров, ширина — около 2 метров. Имеет статус особо охраняемой природной территории республиканского значения.
Тупавица ;Тупавица (серб. Тупавица), или Тупавац (серб. Тупавац) — водопад в 5,4 км от деревни Дойкинци и в 130 км от Ниша, ближайшего большого города, в горном массиве Стара-Планина, на высоте 1050 метров над уровнем моря. Водопад имеет высоту в 15 м. В засушливое время года речка пересыхает, что приводит к временному исчезновению водопада.
Тьоувафосс;"Тьоувафосс (исл. Þjófafoss) — водопад на реке Тьоурсау в восточной лавовой области Меркурхраун (исл. Merkurhraun), на юго-западной стороне холма Бурфедль (исл. Búrfell) в Исландии, в регионе Сюдюрланд.
Чтобы увидеть водопад, необходимо проделать небольшой путь длиной в 4 км по гравийной дорожке от 26 маршрута или двинуться на юг от 32 маршрута, где в прошлом находились ГЭС Бурфедльсстёд (исл. Búrfellsstöð) и Хьяулпарфосс (исл. Hjálparfoss)."
Узуд;"Узуд (араб. شَلَّالات أُوزود — /шалля̅́лят ‘у̅́зу̅д/, МФА [ʃaˈllaːlaːt ˈʔuːzuːd], фр. Cascades d'Ouzoud) — водопад в Марокко, расположен в горах Высокого Атласа в 130 км к северо-востоку от Марракеша, в области Тадла-Азилаль. Высота водопада 110 м, вода падает тремя каскадами. Красоты водопада привлекают многих туристов, которые также посещают глубокое ущелье реки Эль-Абид.
Название водопада в переводе с языка ташельхит означает оливковые деревья, и связывают его с тем, что тропа к водопаду проходит через плантации оливковых деревьев и производства оливкового масла.
На вершине водопада до сих пор работает десяток старых водяных мельниц. На закате к водопаду собирается множество обезьян."
Уило-Уило;Уся́ (кит. 武俠) — приключенческий жанр китайского фэнтези (литература, телевидение, кинематограф), в котором делается упор на демонстрацию восточных единоборств. Уся в кино представляет собой насыщенную фантастическими элементами разновидность фильма с боевыми искусствами. Термин «уся» образован путём сращения слов ушу («боевое искусство») и ся (рыцарь, зачастую странствующий).
Укуору;"Укуору (эст. Ukuoru juga букв. водопад долины Уку или Ukuoja juga букв. водопад ручья Уку) — водопад на реке Укуоя, располагавшийся в уезде Ида-Вирумаа в северо-западной части города Силламяэ, на восточном склоне плато Пяйте. На данный момент не существует, прежнее русло сухое.
Породы плато — кембрийский песчаник в верхней части и синяя глина в нижней части. Разность высот с долиной около 40 метров. Высота собственно водопада составляла 6 метров, далее шло более пологое понижение русла. Раньше водопад, впадая в долину Уку, был ниже, но так как в советское время последнюю использовали как мусорную свалку, для ручья с тем же названием выкопали новое русло. В результате, место падения водопада изменилось, и высота поднялась. Во время строительства береговой границы Силламяэского порта русло Укуоя снова поменяли, направив в западную сторону."
Улаан-Цутгалан ;"Улаан-Цутгалан (монг. Улаан-Цутгалан) — водопад высотой 24 метра на правом притоке реки Орхон — реке Улаан.
Расположен в восточных отрогах хребта Хангай юго-западнее Хархорина возле посёлка Хужирт. Описан в 20-х годах XX века экспедицией Пётра Кузьмича Козлова. Изначально назывался «Водопад экспедиции Козлова».
Происхождение, предположительно, вулканическое. Водопад находится в 100 метрах от реки Орхон. Ширина потока 12 метров. Есть сведения, что в засушливые годы водопад пересыхает, так как питающая его река, по-видимому, имеет дождевое питание."
Уолламен;"Уо́лламен (англ. Wallaman Falls) — водопад типа «каскад» и «конский хвост» в регионе Северный Квинсленд (плато Атертон, зона «Влажные тропики Квинсленда», штат Квинсленд, Австралия). Находится на территории национального парка Гирринган на реке Стоуни-Крик.
Ширина водопада составляет 15 метров, общая высота падения воды — 305 метров, в том числе высота основной части — 268 метров, что делает Уолламен самым высоким водопадом Австралии (294-м в мире). Глубина водоёма, в который низвергается водопад, достигает 20 метров. Расход воды — 3 м³ в секунду. Ежегодно полюбоваться на Уолламен приходит около 100 000 человек. Ближайший к водопаду населённый пункт — городок Трибонн с населением около 320 человек, расположенный примерно в 30 километрах. В связи с воздействием текущей воды на базальтовое основание, высота водопада уменьшается на 40 сантиметров за 100 лет."
Урридафосс;"Урридафосс (исл. Urriðafoss) — водопад на реке Тьоурсау на юго-западе Исландии, в регионе Сюдюрланд, в 16 км к востоку от города Сельфосс. Несмотря на свои относительно небольшие размеры, он довольно известен[кому?].
В ранние дни[когда?], во время могущественных компаний, планировалось строительство электростанции у водопада и железнодорожного пути в Рейкьявик от водопада, но этого так и не произошло, однако теперь национальная компания по производству электроэнергии «Ландсвиркьюн» планирует строительство ГЭС в нижней части реки Тьоурсау, на Урридафоссе и Ноупуре (Núpur).
По замыслу, электростанция Урридафосс будет мощностью 130 МВт с энергетическим потенциалом в 980 ГВт в год. Электростанция будет иметь туннель, ведущий к реке Тьоурсау, чуть ниже водопада. Как ожидается, после строительства электростанции водопад Урридафосс может исчезнуть."
Урубупунга;"Урубупунга́ (порт. Salto do Urubupunga) — ранее существовавший водопад на реке Парана на границе штатов Сан-Паулу и Мату-Гросу-ду-Сул в Бразилии. Имел ширину 2012 метров, высоту 13 метров (в каскаде из двух порогов), расход воды 2747 кубометров в секунду.
Был затоплен вследствие повышения уровня реки в результате строительства ГЭС имени Соуза Диаса (ранее — до строительства «Итайпу» — самой крупной гидроэлектростанции в Бразилии)."
Ускутские водопады;"Уску́тские водопа́ды (укр. Ускутськи водоспади, крымскотат. Üsküt şelâleleri, Ускют шелялелери) — система эфемерных каскадов и водопадов на реке Ускут в городском округе Алушта Республики Крым (согласно административно-территориальному делению Украины — Алуштинском горсовете Автономной Республики Крым).
Находятся в верховье реки, в ущелье, ведущем с перевала Кок-Асан-Богаз, между вершинами Хургуч и Кыз-Кая. Состоят из нескольких живописных каскадов с водопадами, между отвесных скал среди густого леса.
В годы Великой Отечественной войны в районе водопадов, возле которых проходит шоссе Белогорск — Приветное, велись активные бои партизан 2-го партизанского района с фашистами.
Ускутские водопады пока малоизвестны и потому малопосещаемы — расположены в труднодоступном, достаточно удалённом месте, к ним нет ещё обустроенных троп."
